Filename,Artist,Album,Title,Track#,Genre,Duration,Size
He Aha Ra Te Manu.mp3,WAI.TAI,Hoea,He Aha Ra Te Manu,2,"Moari, Ethnic,New Age",02:23,4444
Hineraukatauri (Goddess of Music).mp3,Oceania,Oceania,Hineraukatauri (Goddess of Music),4,World,04:54,9222
Hopeless Wanderer.mp3,Mumford & Sons,Babel,Hopeless Wanderer,9,Folk Rock,05:07,10236
How do you plead.mp3,St Germain,From Detroit to St Germain,How do you plead,7,Goa,06:40,6251
How Sweet Can You Get - 2009.mp3,Average White Band,The Collection Vol.2 CD1,How Sweet Can You Get,9,Soul,03:58,9330
If I Ever Leave This World Alive.mp3,Flogging Molly,Drunken Lullabies,If I Ever Leave This World Alive,4,Rock Celtic,03:21,4722
I'll Be Long Gone.mp3,Mother Earth,Bring Me Home,I'll Be Long Gone,4,New Age,05:56,11141
I'm in the Mood for Dancing.mp3,The Nolans,I'm in the Mood for Dancing,I'm in the Mood for Dancing,1,Easy Listening - Group,02:59,5601
Leave a Light On.mp3,Belinda Carlisle,A Place On Earth - The Greatest Hits (CD 1/2),Leave a Light On,4,Easy Listening - Female,04:16,4006
Like someone in love.mp3,Nancy Wilson,The Best of Nancy Wilson,Like Someone In Love,8,Vocal,02:22,3368
Little Black Book.mp3,Belinda Carlisle,A Place On Earth - The Greatest Hits (CD 1/2),Little Black Book,10,Easy Listening - Female,04:12,3951
Lost for Words.mp3,Ronan Keating,10 Years Of Hits,Lost For Words,9,Dance,03:48,5366
Maggie.mp3,Gael Force,Gael Force,Maggie,11,Celtic,03:41,6914
Maggie.mp3,Wolfstone,Live! Not Enough Shouting,Maggie,14,Rock Celtic,04:47,7862
Marijuana.mp3,Country Joe & The Fish,Electric Music For The Mind And The Mind,Marijuana,14,Psychadelic,02:32,3575
Marooned.mp3,Pink Floyd,The Division Bell,Marooned,4,Progressive Rock,05:29,10384
Mary.mp3,Big Country ,Fields of Fire,Mary,14,Alternative,03:53,9109
Mary.mp3,Sarah Slean,Sarah Slean,Mary,1,Alternative,04:04,3818
Messages.mp3,Xavier Rudd,Food In The Belly,Messages,2,Mellow,04:02,5686
Northern Lights.mp3,St. Vincent,Strange Mercy,Northern Lights,5,Indie Rock,03:33,8359
Now There's That Fear Again.mp3,Mum,Finally We Are No One,Now There's That Fear Again,7,Post-Rock,03:56,5550
One Golden Rule.mp3,Chris Rea,Shamrock Diaries,One Golden Rule,5,Blues,04:30,10569
One Slip.mp3,Pink Floyd,A Momentary Lapse Of Reason,One Slip,4,Progressive Rock,05:08,10086
Parihaka.mp3,Herbs,Lights of the Pacific: The Very Best Of,Parihaka,9,Reggae,04:16,8028
Radioactive.mp3,Imagine Dragons,Continued Silence EP,Radioactive,1,Indie Rock,03:08,7414
River.mp3,Enya,Watermark,River,9,Alternative,03:12,7553
Sarah Victoria.mp3,Acoustic Alchemy,Early Alchemy,Sarah Victoria,2,Acoustic,01:54,3692
Shower the People.mp3,Dixie Chicks & James Taylor,CMT Crossroads,Shower the People,9,Country,02:03,2906
Shower the People.mp3,James Taylor,Greatest Hits,Shower the People,11,Rock,04:01,9426
Silent Warrior.mp3,Enigma,The Cross of Changes,Silent Warrior,5,New Age,06:09,11546
Simple Love [#].mp3,Alison Krauss,A Hundred Miles or More: A Collection,Simple Love [#],2,Bluegrass,04:44,4444
Slice Of Heaven.mp3,three decades of males,three decades of males Disc 2,slice of heaven,1,Easy Listening - Male,04:08,9693
Slice of Heaven.mp3,Dave Dobbyn & Herbs,Footrot Flats: A Dog's Tale,Slice of Heaven,10,Pop,04:37,4347
Slice of Heaven.mp3,Herbs,Listen: The Very Best of Herbs,Slice of Heaven,11,Reggae,04:37,8667
Slow Train.mp3,Bob Dylan,Slow Train Coming,Slow Train,4,Folk Rock,05:59,14107
Spanish Train.mp3,Chris de Burgh,Spanish Train & Other Stories,Spanish Train,1,Easy Listening - Male,05:02,11841
Stay.mp3,Sarah Slean,Sarah Slean,Sarah Slean,1,Alternative,02:42,2551
Stay.mp3,Jackson Browne,Running on Empty,Stay,10,Rock,03:24,7990
Steal Your Heart Away.mp3,Fleetwood Mac,SAY YOU WILL,Steal Your Heart Away,13,Blues,03:33,5011
Sweet Baby James.mp3,Dixie Chicks & James Taylor,CMT Crossroads,Sweet Baby James,5,Country,03:25,4015
Sweet Baby James.mp3,James Taylor,Greatest Hits,Sweet Baby James,4,Rock,02:54,6818
Tell me.mp3,THE BANGLES,Walk Like An Egyptian: The Best Of_CD 2,Tell me,14,Pop,02:15,2884
Fridays Child.mp3,Wendy Matthews,lily,Fridays Child,1,Woman,04:03,7608
The Forest Awakes.mp3,David Byrne & St. Vincent,Love This Giant,The Forest Awakes,6,Alternative,04:52,11442
The Horses.mp3,Rickie Lee Jones,Flying Cowboys,The Horses,1,Bluegrass,04:52,9158
The Mother.mp3,Xavier Rudd,Food In The Belly,The Mother,6,Mellow,03:15,4594
The Sodom And Gomorrah Show.mp3,Pet Shop Boys,Fundamental,The Sodom And Gomorrah Show,2,Dance,05:19,7496
The Times They Are A-Changin'.mp3,Bob Dylan,At Budokan,The Times They Are A-Changin',11,Folk Cont,05:28,12854
The Traveller.mp3,A Flock of Seagulls,Listen,The Traveller,6,New Wave,03:26,5677
The Woods.mp3,Daughter,His Young Heart,The Woods,2,Indie,03:40,8959
Til We Outnumber 'Em (This Land Is You Land).mp3,Arlo Guthrie,Til We Outnumber 'Em: Woody Guthrie,Til We Outnumber 'Em (This Land Is You Land),19,Folk,02:37,4929
Turn! Turn! Turn! (To Everything There Is A Season).mp3,Wilson Phillips,California,Turn! Turn! Turn! (To Everything There Is A Season),6,Pop,02:40,5025
Turn! Turn! Turn!.mp3,Nina Simone,"To Love Somebody (1969), Here Comes the Sun (1971)",Turn! Turn! Turn!,2,Jazz,03:41,3463
Unchain My Heart [90's Version].mp3,Joe Cocker,The Best of Joe Cocker [Mushroom],Unchain My Heart [90's Version],1,Rock,05:06,11972
Waiting For You.mp3,Acoustic Alchemy,Early Alchemy,Waiting For You,11,Acoustic,03:24,6488
We can let it happen tonight.mp3,Maria Muldaur,Music for Lovers,We can let it happen tonight,6,Jazz,04:10,9784
When Girls Collide.mp3,Mum,Smilewound,When Girls Collide,3,Indie,05:00,11870
When You Come Back Home.mp3,The Front Lawn,Songs from the Front Lawn,When You Come Back Home,1,Avante-Garde,03:37,3408
"You Probably Couldn't See For The Lights, But You Were Staring Straight At Me.mp3",Arctic Monkeys,Live In Texas (7 June 2006),"You Probably Couldn't See For The Lights, But You Were Staring Straight At Me",4,Indie Rock / Brit Pop,02:22,5771
You Were Mine.mp3,Dixie Chicks,Dixie Chicks,You Were Mine,5,Country,03:37,3409
You're Just a Country Boy [#].mp3,Alison Krauss,A Hundred Miles or More: A Collection,You're Just a Country Boy [#],1,Bluegrass,03:28,3258
Zombie.mp3,The Cranberries,Zombie (UK Single - Part 1) [Island - CID 600-854 110-2],Zombie,1,Alternative  Rock / Post-Grunge,04:12,9874
